"ลำดับ","รหัส อปท","ชื่อ อปท","อำเภอ","จังหวัด"
"1","2110101","องค์การบริหารส่วนจังหวัด สมุทรปราการ","เมืองสมุทรปราการ","สมุทรปราการ"
"2","3110102","เทศบาลนคร สมุทรปราการ","เมืองสมุทรปราการ","สมุทรปราการ"
"3","4110103","เทศบาลเมือง ปากน้ำสมุทรปราการ","เมืองสมุทรปราการ","สมุทรปราการ"
"4","5110104","เทศบาลตำบล ด่านสำโรง","เมืองสมุทรปราการ","สมุทรปราการ"
"5","5110105","เทศบาลตำบล บางปู","เมืองสมุทรปราการ","สมุทรปราการ"
"6","5110106","เทศบาลตำบล บางเมือง","เมืองสมุทรปราการ","สมุทรปราการ"
"7","5110107","เทศบาลตำบล แพรกษา","เมืองสมุทรปราการ","สมุทรปราการ"
"8","5110108","เทศบาลตำบล สำโรงเหนือ","เมืองสมุทรปราการ","สมุทรปราการ"
"9","6110109","องค์การบริหารส่วนตำบล แพรกษาใหม่","เมืองสมุทรปราการ","สมุทรปราการ"
"10","6110110","องค์การบริหารส่วนตำบล เทพารักษ์","เมืองสมุทรปราการ","สมุทรปราการ"
"11","6110111","องค์การบริหารส่วนตำบล บางด้วน","เมืองสมุทรปราการ","สมุทรปราการ"
"12","6110112","องค์การบริหารส่วนตำบล บางโปรง","เมืองสมุทรปราการ","สมุทรปราการ"
"13","6110113","องค์การบริหารส่วนตำบล แพรกษา","เมืองสมุทรปราการ","สมุทรปราการ"
"14","5110201","เทศบาลตำบล บางพลีน้อย","บางบ่อ","สมุทรปราการ"
"15","5110202","เทศบาลตำบล คลองด่าน","บางบ่อ","สมุทรปราการ"
"16","5110203","เทศบาลตำบล คลองสวน","บางบ่อ","สมุทรปราการ"
"17","5110204","เทศบาลตำบล บางบ่อ","บางบ่อ","สมุทรปราการ"
"18","6110205","องค์การบริหารส่วนตำบล คลองด่าน","บางบ่อ","สมุทรปราการ"
"19","6110206","องค์การบริหารส่วนตำบล คลองนิยมยาตรา","บางบ่อ","สมุทรปราการ"
"20","6110207","องค์การบริหารส่วนตำบล บางบ่อ","บางบ่อ","สมุทรปราการ"
"21","6110208","องค์การบริหารส่วนตำบล บางเพรียง","บางบ่อ","สมุทรปราการ"
"22","6110209","องค์การบริหารส่วนตำบล บ้านระกาศ","บางบ่อ","สมุทรปราการ"
"23","6110210","องค์การบริหารส่วนตำบล เปร็ง","บางบ่อ","สมุทรปราการ"
"24","5110301","เทศบาลตำบล บางพลี","บางพลี","สมุทรปราการ"
"25","6110302","องค์การบริหารส่วนตำบล บางแก้ว","บางพลี","สมุทรปราการ"
"26","6110303","องค์การบริหารส่วนตำบล บางโฉลง","บางพลี","สมุทรปราการ"
"27","6110304","องค์การบริหารส่วนตำบล บางปลา","บางพลี","สมุทรปราการ"
"28","6110305","องค์การบริหารส่วนตำบล บางพลีใหญ่","บางพลี","สมุทรปราการ"
"29","6110306","องค์การบริหารส่วนตำบล ราชาเทวะ","บางพลี","สมุทรปราการ"
"30","6110307","องค์การบริหารส่วนตำบล หนองปรือ","บางพลี","สมุทรปราการ"
"31","4110401","เทศบาลเมือง พระประแดง","พระประแดง","สมุทรปราการ"
"32","4110402","เทศบาลเมือง ลัดหลวง","พระประแดง","สมุทรปราการ"
"33","4110403","เทศบาลเมือง ปู่เจ้าสมิงพราย","พระประแดง","สมุทรปราการ"
"34","6110404","องค์การบริหารส่วนตำบล ทรงคนอง","พระประแดง","สมุทรปราการ"
"35","6110405","องค์การบริหารส่วนตำบล บางกะเจ้า","พระประแดง","สมุทรปราการ"
"36","6110406","องค์การบริหารส่วนตำบล บางกระสอบ","พระประแดง","สมุทรปราการ"
"37","6110407","องค์การบริหารส่วนตำบล บางกอบัว","พระประแดง","สมุทรปราการ"
"38","6110408","องค์การบริหารส่วนตำบล บางน้ำผึ้ง","พระประแดง","สมุทรปราการ"
"39","6110409","องค์การบริหารส่วนตำบล บางยอ","พระประแดง","สมุทรปราการ"
"40","5110501","เทศบาลตำบล พระสมุทรเจดีย์","พระสมุทรเจดีย์","สมุทรปราการ"
"41","5110502","เทศบาลตำบล แหลมฟ้าผ่า","พระสมุทรเจดีย์","สมุทรปราการ"
"42","6110503","องค์การบริหารส่วนตำบล นาเกลือ","พระสมุทรเจดีย์","สมุทรปราการ"
"43","6110504","องค์การบริหารส่วนตำบล ในคลองบางปลากด","พระสมุทรเจดีย์","สมุทรปราการ"
"44","6110505","องค์การบริหารส่วนตำบล บ้านคลองสวน","พระสมุทรเจดีย์","สมุทรปราการ"
"45","6110506","องค์การบริหารส่วนตำบล แหลมฟ้าผ่า","พระสมุทรเจดีย์","สมุทรปราการ"
"46","5110601","เทศบาลตำบล บางเสาธง","บางเสาธง","สมุทรปราการ"
"47","6110602","องค์การบริหารส่วนตำบล บางเสาธง","บางเสาธง","สมุทรปราการ"
"48","6110603","องค์การบริหารส่วนตำบล ศีรษะจรเข้น้อย","บางเสาธง","สมุทรปราการ"
"49","6110604","องค์การบริหารส่วนตำบล ศีรษะจรเข้ใหญ่","บางเสาธง","สมุทรปราการ"
"50","2120101","องค์การบริหารส่วนจังหวัด นนทบุรี","เมืองนนทบุรี","นนทบุรี"
"51","3120102","เทศบาลนคร นนทบุรี","เมืองนนทบุรี","นนทบุรี"
"52","4120103","เทศบาลเมือง บางศรีเมือง","เมืองนนทบุรี","นนทบุรี"
"53","5120104","เทศบาลตำบล ไทรม้า","เมืองนนทบุรี","นนทบุรี"
"54","6120105","องค์การบริหารส่วนตำบล บางกร่าง","เมืองนนทบุรี","นนทบุรี"
"55","6120106","องค์การบริหารส่วนตำบล บางไผ่","เมืองนนทบุรี","นนทบุรี"
"56","6120107","องค์การบริหารส่วนตำบล บางรักน้อย","เมืองนนทบุรี","นนทบุรี"
"57","4120201","เทศบาลเมือง บางกรวย","บางกรวย","นนทบุรี"
"58","5120202","เทศบาลตำบล ปลายบาง","บางกรวย","นนทบุรี"
"59","5120203","เทศบาลตำบล ศาลากลาง","บางกรวย","นนทบุรี"
"60","5120206","เทศบาลตำบล บางสีทอง","บางกรวย","นนทบุรี"
"61","6120204","องค์การบริหารส่วนตำบล บางขนุน","บางกรวย","นนทบุรี"
"62","6120205","องค์การบริหารส่วนตำบล บางขุนกอง","บางกรวย","นนทบุรี"
"63","6120207","องค์การบริหารส่วนตำบล มหาสวัสดิ์","บางกรวย","นนทบุรี"
"64","5120301","เทศบาลตำบล บ้านบางม่วง","บางใหญ่","นนทบุรี"
"65","5120302","เทศบาลตำบล บางเลน","บางใหญ่","นนทบุรี"
"66","5120303","เทศบาลตำบล เสาธงหิน","บางใหญ่","นนทบุรี"
"67","5120304","เทศบาลตำบล บางม่วง","บางใหญ่","นนทบุรี"
"68","5120305","เทศบาลตำบล บางใหญ่","บางใหญ่","นนทบุรี"
"69","6120306","องค์การบริหารส่วนตำบล บางแม่นาง","บางใหญ่","นนทบุรี"
"70","6120307","องค์การบริหารส่วนตำบล บางใหญ่","บางใหญ่","นนทบุรี"
"71","6120308","องค์การบริหารส่วนตำบล บ้านใหม่","บางใหญ่","นนทบุรี"
"72","4120401","เทศบาลเมือง บางบัวทอง","บางบัวทอง","นนทบุรี"
"73","4120406","เทศบาลเมือง พิมลราช","บางบัวทอง","นนทบุรี"
"74","6120402","องค์การบริหารส่วนตำบล บางคูรัด","บางบัวทอง","นนทบุรี"
"75","6120403","องค์การบริหารส่วนตำบล บางบัวทอง","บางบัวทอง","นนทบุรี"
"76","6120404","องค์การบริหารส่วนตำบล บางรักพัฒนา","บางบัวทอง","นนทบุรี"
"77","6120405","องค์การบริหารส่วนตำบล บางรักใหญ่","บางบัวทอง","นนทบุรี"
"78","6120407","องค์การบริหารส่วนตำบล ละหาร","บางบัวทอง","นนทบุรี"
"79","6120408","องค์การบริหารส่วนตำบล ลำโพ","บางบัวทอง","นนทบุรี"
"80","5120501","เทศบาลตำบล ไทรน้อย","ไทรน้อย","นนทบุรี"
"81","6120502","องค์การบริหารส่วนตำบล ขุนศรี","ไทรน้อย","นนทบุรี"
"82","6120503","องค์การบริหารส่วนตำบล คลองขวาง","ไทรน้อย","นนทบุรี"
"83","6120504","องค์การบริหารส่วนตำบล ทวีวัฒนา","ไทรน้อย","นนทบุรี"
"84","6120505","องค์การบริหารส่วนตำบล ไทรน้อย","ไทรน้อย","นนทบุรี"
"85","6120506","องค์การบริหารส่วนตำบล ไทรใหญ่","ไทรน้อย","นนทบุรี"
"86","6120507","องค์การบริหารส่วนตำบล ราษฎร์นิยม","ไทรน้อย","นนทบุรี"
"87","6120508","องค์การบริหารส่วนตำบล หนองเพรางาย","ไทรน้อย","นนทบุรี"
"88","3120601","เทศบาลนคร ปากเกร็ด","ปากเกร็ด","นนทบุรี"
"89","5120607","เทศบาลตำบล บางพลับ","ปากเกร็ด","นนทบุรี"
"90","6120602","องค์การบริหารส่วนตำบล เกาะเกร็ด","ปากเกร็ด","นนทบุรี"
"91","6120603","องค์การบริหารส่วนตำบล คลองข่อย","ปากเกร็ด","นนทบุรี"
"92","6120604","องค์การบริหารส่วนตำบล คลองพระอุดม","ปากเกร็ด","นนทบุรี"
"93","6120605","องค์การบริหารส่วนตำบล ท่าอิฐ","ปากเกร็ด","นนทบุรี"
"94","6120606","องค์การบริหารส่วนตำบล บางตะไนย์","ปากเกร็ด","นนทบุรี"
"95","6120608","องค์การบริหารส่วนตำบล อ้อมเกร็ด","ปากเกร็ด","นนทบุรี"
"96","2130101","องค์การบริหารส่วนจังหวัด ปทุมธานี","เมืองปทุมธานี","ปทุมธานี"
"97","4130102","เทศบาลเมือง ปทุมธานี","เมืองปทุมธานี","ปทุมธานี"
"98","4130103","เทศบาลเมือง บางคูวัด","เมืองปทุมธานี","ปทุมธานี"
"99","5130104","เทศบาลตำบล บางขะแยง","เมืองปทุมธานี","ปทุมธานี"
"100","5130105","เทศบาลตำบล บางเดื่อ","เมืองปทุมธานี","ปทุมธานี"
"101","5130106","เทศบาลตำบล บางพูน","เมืองปทุมธานี","ปทุมธานี"
"102","5130107","เทศบาลตำบล บ้านกลาง","เมืองปทุมธานี","ปทุมธานี"
"103","5130108","เทศบาลตำบล บ้านใหม่","เมืองปทุมธานี","ปทุมธานี"
"104","5130109","เทศบาลตำบล บางหลวง","เมืองปทุมธานี","ปทุมธานี"
"105","5130110","เทศบาลตำบล บางกะดี","เมืองปทุมธานี","ปทุมธานี"
"106","5130111","เทศบาลตำบล หลักหก","เมืองปทุมธานี","ปทุมธานี"
"107","6130112","องค์การบริหารส่วนตำบล บางพูด","เมืองปทุมธานี","ปทุมธานี"
"108","6130113","องค์การบริหารส่วนตำบล บ้านกระแชง","เมืองปทุมธานี","ปทุมธานี"
"109","6130114","องค์การบริหารส่วนตำบล บางหลวง","เมืองปทุมธานี","ปทุมธานี"
"110","6130115","องค์การบริหารส่วนตำบล บ้านฉาง","เมืองปทุมธานี","ปทุมธานี"
"111","6130116","องค์การบริหารส่วนตำบล สวนพริกไทย","เมืองปทุมธานี","ปทุมธานี"
"112","4130201","เทศบาลเมือง ท่าโขลง","คลองหลวง","ปทุมธานี"
"113","4130202","เทศบาลเมือง คลองหลวง","คลองหลวง","ปทุมธานี"
"114","6130203","องค์การบริหารส่วนตำบล คลองเจ็ด","คลองหลวง","ปทุมธานี"
"115","6130204","องค์การบริหารส่วนตำบล คลองสาม","คลองหลวง","ปทุมธานี"
"116","6130205","องค์การบริหารส่วนตำบล คลองสี่","คลองหลวง","ปทุมธานี"
"117","6130206","องค์การบริหารส่วนตำบล คลองหก","คลองหลวง","ปทุมธานี"
"118","6130207","องค์การบริหารส่วนตำบล คลองห้า","คลองหลวง","ปทุมธานี"
"119","3130301","เทศบาลนคร รังสิต","ธัญบุรี","ปทุมธานี"
"120","4130302","เทศบาลเมือง บึงยี่โถ","ธัญบุรี","ปทุมธานี"
"121","4130303","เทศบาลเมือง สนั่นรักษ์","ธัญบุรี","ปทุมธานี"
"122","5130304","เทศบาลตำบล ธัญบุรี","ธัญบุรี","ปทุมธานี"
"123","5130401","เทศบาลตำบล หนองเสือ","หนองเสือ","ปทุมธานี"
"124","6130402","องค์การบริหารส่วนตำบล นพรัตน์","หนองเสือ","ปทุมธานี"
"125","6130403","องค์การบริหารส่วนตำบล บึงกาสาม","หนองเสือ","ปทุมธานี"
"126","6130404","องค์การบริหารส่วนตำบล บึงชำอ้อ","หนองเสือ","ปทุมธานี"
"127","6130405","องค์การบริหารส่วนตำบล บึงบอน","หนองเสือ","ปทุมธานี"
"128","6130406","องค์การบริหารส่วนตำบล บึงบา","หนองเสือ","ปทุมธานี"
"129","6130407","องค์การบริหารส่วนตำบล ศาลาครุ","หนองเสือ","ปทุมธานี"
"130","6130408","องค์การบริหารส่วนตำบล หนองสามวัง","หนองเสือ","ปทุมธานี"
"131","5130501","เทศบาลตำบล คูขวาง","ลาดหลุมแก้ว","ปทุมธานี"
"132","5130502","เทศบาลตำบล ระแหง","ลาดหลุมแก้ว","ปทุมธานี"
"133","5130503","เทศบาลตำบล คลองพระอุดม","ลาดหลุมแก้ว","ปทุมธานี"
"134","6130504","องค์การบริหารส่วนตำบล บ่อเงิน","ลาดหลุมแก้ว","ปทุมธานี"
"135","6130505","องค์การบริหารส่วนตำบล หน้าไม้","ลาดหลุมแก้ว","ปทุมธานี"
"136","6130506","องค์การบริหารส่วนตำบล คูบางหลวง","ลาดหลุมแก้ว","ปทุมธานี"
"137","6130507","องค์การบริหารส่วนตำบล ลาดหลุมแก้ว","ลาดหลุมแก้ว","ปทุมธานี"
"138","6130508","องค์การบริหารส่วนตำบล ระแหง","ลาดหลุมแก้ว","ปทุมธานี"
"139","4130601","เทศบาลเมือง คูคต","ลำลูกกา","ปทุมธานี"
"140","4130602","เทศบาลเมือง ลำสามแก้ว","ลำลูกกา","ปทุมธานี"
"141","4130603","เทศบาลเมือง ลาดสวาย","ลำลูกกา","ปทุมธานี"
"142","5130604","เทศบาลตำบล ลำไทร","ลำลูกกา","ปทุมธานี"
"143","5130605","เทศบาลตำบล ลำลูกกา","ลำลูกกา","ปทุมธานี"
"144","6130606","องค์การบริหารส่วนตำบล บึงคอไห","ลำลูกกา","ปทุมธานี"
"145","6130607","องค์การบริหารส่วนตำบล บึงคำพร้อย","ลำลูกกา","ปทุมธานี"
"146","6130608","องค์การบริหารส่วนตำบล บึงทองหลาง","ลำลูกกา","ปทุมธานี"
"147","6130609","องค์การบริหารส่วนตำบล พืชอุดม","ลำลูกกา","ปทุมธานี"
"148","6130610","องค์การบริหารส่วนตำบล ลำไทร","ลำลูกกา","ปทุมธานี"
"149","6130611","องค์การบริหารส่วนตำบล ลำลูกกา","ลำลูกกา","ปทุมธานี"
"150","5130701","เทศบาลตำบล สามโคก","สามโคก","ปทุมธานี"
"151","5130702","เทศบาลตำบล บางเตย","สามโคก","ปทุมธานี"
"152","6130703","องค์การบริหารส่วนตำบล กระแชง","สามโคก","ปทุมธานี"
"153","6130704","องค์การบริหารส่วนตำบล คลองควาย","สามโคก","ปทุมธานี"
"154","6130705","องค์การบริหารส่วนตำบล เชียงรากน้อย","สามโคก","ปทุมธานี"
"155","6130706","องค์การบริหารส่วนตำบล เชียงรากใหญ่","สามโคก","ปทุมธานี"
"156","6130707","องค์การบริหารส่วนตำบล ท้ายเกาะ","สามโคก","ปทุมธานี"
"157","6130708","องค์การบริหารส่วนตำบล บางกระบือ","สามโคก","ปทุมธานี"
"158","6130709","องค์การบริหารส่วนตำบล บางโพธิ์เหนือ","สามโคก","ปทุมธานี"
"159","6130710","องค์การบริหารส่วนตำบล บ้านงิ้ว","สามโคก","ปทุมธานี"
"160","6130711","องค์การบริหารส่วนตำบล บ้านปทุม","สามโคก","ปทุมธานี"
"161","2140101","องค์การบริหารส่วนจังหวัด พระนครศรีอยุธยา","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"162","3140102","เทศบาลนคร พระนครศรีอยุธยา","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"163","4140103","เทศบาลเมือง อโยธยา","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"164","6140104","องค์การบริหารส่วนตำบล เกาะเรียน","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"165","6140105","องค์การบริหารส่วนตำบล คลองตะเคียน","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"166","6140106","องค์การบริหารส่วนตำบล คลองสระบัว","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"167","6140107","องค์การบริหารส่วนตำบล บ้านเกาะ","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"168","6140108","องค์การบริหารส่วนตำบล บ้านป้อม","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"169","6140109","องค์การบริหารส่วนตำบล บ้านใหม่","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"170","6140110","องค์การบริหารส่วนตำบล ปากกราน","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"171","6140111","องค์การบริหารส่วนตำบล ภูเขาทอง","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"172","6140112","องค์การบริหารส่วนตำบล ลุมพลี","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"173","6140113","องค์การบริหารส่วนตำบล วัดตูม","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"174","6140114","องค์การบริหารส่วนตำบล สวนพริก","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"175","6140115","องค์การบริหารส่วนตำบล สำเภาล่ม","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"176","6140116","องค์การบริหารส่วนตำบล หันตรา","พระนครศรีอยุธยา","พระนครศรีอยุธยา"
"177","5140201","เทศบาลตำบล ท่าหลวง","ท่าเรือ","พระนครศรีอยุธยา"
"178","5140202","เทศบาลตำบล ท่าเรือ","ท่าเรือ","พระนครศรีอยุธยา"
"179","6140203","องค์การบริหารส่วนตำบล จำปา","ท่าเรือ","พระนครศรีอยุธยา"
"180","6140204","องค์การบริหารส่วนตำบล ท่าเจ้าสนุก","ท่าเรือ","พระนครศรีอยุธยา"
"181","6140205","องค์การบริหารส่วนตำบล ท่าหลวง","ท่าเรือ","พระนครศรีอยุธยา"
"182","6140206","องค์การบริหารส่วนตำบล บ้านร่อม","ท่าเรือ","พระนครศรีอยุธยา"
"183","6140207","องค์การบริหารส่วนตำบล ปากท่า","ท่าเรือ","พระนครศรีอยุธยา"
"184","6140208","องค์การบริหารส่วนตำบล โพธิ์เอน","ท่าเรือ","พระนครศรีอยุธยา"
"185","6140209","องค์การบริหารส่วนตำบล วังแดง","ท่าเรือ","พระนครศรีอยุธยา"
"186","6140210","องค์การบริหารส่วนตำบล ศาลาลอย","ท่าเรือ","พระนครศรีอยุธยา"
"187","6140211","องค์การบริหารส่วนตำบล หนองขนาก","ท่าเรือ","พระนครศรีอยุธยา"
"188","5140301","เทศบาลตำบล นครหลวง","นครหลวง","พระนครศรีอยุธยา"
"189","5140302","เทศบาลตำบล อรัญญิก","นครหลวง","พระนครศรีอยุธยา"
"190","6140303","องค์การบริหารส่วนตำบล คลองสะแก","นครหลวง","พระนครศรีอยุธยา"
"191","6140304","องค์การบริหารส่วนตำบล บ่อโพง","นครหลวง","พระนครศรีอยุธยา"
"192","6140305","องค์การบริหารส่วนตำบล หนองปลิง","นครหลวง","พระนครศรีอยุธยา"
"193","6140306","องค์การบริหารส่วนตำบล บ้านชุ้ง","นครหลวง","พระนครศรีอยุธยา"
"194","6140307","องค์การบริหารส่วนตำบล ปากจั่น","นครหลวง","พระนครศรีอยุธยา"
"195","6140308","องค์การบริหารส่วนตำบล แม่ลา","นครหลวง","พระนครศรีอยุธยา"
"196","5140401","เทศบาลตำบล บางไทร","บางไทร","พระนครศรีอยุธยา"
"197","5140402","เทศบาลตำบล ราชคราม","บางไทร","พระนครศรีอยุธยา"
"198","6140403","องค์การบริหารส่วนตำบล กระแชง","บางไทร","พระนครศรีอยุธยา"
"199","6140404","องค์การบริหารส่วนตำบล ไม้ตรา","บางไทร","พระนครศรีอยุธยา"
"200","6140405","องค์การบริหารส่วนตำบล โคกช้าง","บางไทร","พระนครศรีอยุธยา"
"201","6140406","องค์การบริหารส่วนตำบล บางยี่โท","บางไทร","พระนครศรีอยุธยา"
"202","6140407","องค์การบริหารส่วนตำบล บ้านกลึง","บางไทร","พระนครศรีอยุธยา"
"203","6140408","องค์การบริหารส่วนตำบล บ้านม้า","บางไทร","พระนครศรีอยุธยา"
"204","6140409","องค์การบริหารส่วนตำบล ไผ่พระ","บางไทร","พระนครศรีอยุธยา"
"205","6140410","องค์การบริหารส่วนตำบล โพแตง","บางไทร","พระนครศรีอยุธยา"
"206","6140411","องค์การบริหารส่วนตำบล สนามชัย","บางไทร","พระนครศรีอยุธยา"
"207","5140501","เทศบาลตำบล บางบาล","บางบาล","พระนครศรีอยุธยา"
"208","5140502","เทศบาลตำบล มหาพราหมณ์","บางบาล","พระนครศรีอยุธยา"
"209","6140503","องค์การบริหารส่วนตำบล กบเจา","บางบาล","พระนครศรีอยุธยา"
"210","6140504","องค์การบริหารส่วนตำบล น้ำเต้า","บางบาล","พระนครศรีอยุธยา"
"211","6140505","องค์การบริหารส่วนตำบล บ้านคลัง","บางบาล","พระนครศรีอยุธยา"
"212","6140506","องค์การบริหารส่วนตำบล พระขาว","บางบาล","พระนครศรีอยุธยา"
"213","5140601","เทศบาลตำบล ตลาดเกรียบ","บางปะอิน","พระนครศรีอยุธยา"
"214","5140602","เทศบาลตำบล บ้านกรด","บางปะอิน","พระนครศรีอยุธยา"
"215","5140603","เทศบาลตำบล บางปะอิน","บางปะอิน","พระนครศรีอยุธยา"
"216","5140604","เทศบาลตำบล บ้านสร้าง","บางปะอิน","พระนครศรีอยุธยา"
"217","5140605","เทศบาลตำบล พระอินทราชา","บางปะอิน","พระนครศรีอยุธยา"
"218","5140606","เทศบาลตำบล บางกระสั้น","บางปะอิน","พระนครศรีอยุธยา"
"219","5140607","เทศบาลตำบล ปราสาททอง","บางปะอิน","พระนครศรีอยุธยา"
"220","5140608","เทศบาลตำบล เชียงรากน้อย","บางปะอิน","พระนครศรีอยุธยา"
"221","5140609","เทศบาลตำบล คลองจิก","บางปะอิน","พระนครศรีอยุธยา"
"222","6140610","องค์การบริหารส่วนตำบล เกาะเกิด","บางปะอิน","พระนครศรีอยุธยา"
"223","6140611","องค์การบริหารส่วนตำบล ตลิ่งชัน","บางปะอิน","พระนครศรีอยุธยา"
"224","6140612","องค์การบริหารส่วนตำบล บางประแดง","บางปะอิน","พระนครศรีอยุธยา"
"225","6140613","องค์การบริหารส่วนตำบล บ้านแป้ง","บางปะอิน","พระนครศรีอยุธยา"
"226","6140614","องค์การบริหารส่วนตำบล บ้านพลับ","บางปะอิน","พระนครศรีอยุธยา"
"227","6140615","องค์การบริหารส่วนตำบล บ้านโพ","บางปะอิน","พระนครศรีอยุธยา"
"228","6140616","องค์การบริหารส่วนตำบล บ้านหว้า","บางปะอิน","พระนครศรีอยุธยา"
"229","6140617","องค์การบริหารส่วนตำบล วัดยม","บางปะอิน","พระนครศรีอยุธยา"
"230","6140618","องค์การบริหารส่วนตำบล สามเรือน","บางปะอิน","พระนครศรีอยุธยา"
"231","5140701","เทศบาลตำบล บางปะหัน","บางปะหัน","พระนครศรีอยุธยา"
"232","6140702","องค์การบริหารส่วนตำบล ตานิม","บางปะหัน","พระนครศรีอยุธยา"
"233","6140703","องค์การบริหารส่วนตำบล ทับน้ำ","บางปะหัน","พระนครศรีอยุธยา"
"234","6140704","องค์การบริหารส่วนตำบล บางเดื่อ","บางปะหัน","พระนครศรีอยุธยา"
"235","6140705","องค์การบริหารส่วนตำบล บางปะหัน","บางปะหัน","พระนครศรีอยุธยา"
"236","6140706","องค์การบริหารส่วนตำบล บ้านขล้อ","บางปะหัน","พระนครศรีอยุธยา"
"237","6140707","องค์การบริหารส่วนตำบล บ้านลี่","บางปะหัน","พระนครศรีอยุธยา"
"238","6140708","องค์การบริหารส่วนตำบล พุทเลา","บางปะหัน","พระนครศรีอยุธยา"
"239","6140709","องค์การบริหารส่วนตำบล โพธิ์สามต้น","บางปะหัน","พระนครศรีอยุธยา"
"240","6140710","องค์การบริหารส่วนตำบล เสาธง","บางปะหัน","พระนครศรีอยุธยา"
"241","6140711","องค์การบริหารส่วนตำบล หันสัง","บางปะหัน","พระนครศรีอยุธยา"
"242","4140801","เทศบาลเมือง ผักไห่","ผักไห่","พระนครศรีอยุธยา"
"243","5140802","เทศบาลตำบล ลาดชะโด","ผักไห่","พระนครศรีอยุธยา"
"244","6140803","องค์การบริหารส่วนตำบล กุฎี","ผักไห่","พระนครศรีอยุธยา"
"245","6140804","องค์การบริหารส่วนตำบล ดอนลาน","ผักไห่","พระนครศรีอยุธยา"
"246","6140805","องค์การบริหารส่วนตำบล ท่าดินแดง","ผักไห่","พระนครศรีอยุธยา"
"247","6140806","องค์การบริหารส่วนตำบล นาคู","ผักไห่","พระนครศรีอยุธยา"
"248","6140807","องค์การบริหารส่วนตำบล บ้านแค","ผักไห่","พระนครศรีอยุธยา"
"249","6140808","องค์การบริหารส่วนตำบล ลาดชิด","ผักไห่","พระนครศรีอยุธยา"
"250","6140809","องค์การบริหารส่วนตำบล ลาดน้ำเค็ม","ผักไห่","พระนครศรีอยุธยา"
"251","6140810","องค์การบริหารส่วนตำบล หน้าโคก","ผักไห่","พระนครศรีอยุธยา"
"252","5140901","เทศบาลตำบล ภาชี","ภาชี","พระนครศรีอยุธยา"
"253","6140902","องค์การบริหารส่วนตำบล กระจิว","ภาชี","พระนครศรีอยุธยา"
"254","6140903","องค์การบริหารส่วนตำบล โคกม่วง","ภาชี","พระนครศรีอยุธยา"
"255","6140904","องค์การบริหารส่วนตำบล ดอนหญ้านาง","ภาชี","พระนครศรีอยุธยา"
"256","6140905","องค์การบริหารส่วนตำบล ไผ่ล้อม","ภาชี","พระนครศรีอยุธยา"
"257","6140906","องค์การบริหารส่วนตำบล พระแก้ว","ภาชี","พระนครศรีอยุธยา"
"258","6140907","องค์การบริหารส่วนตำบล ระโสม","ภาชี","พระนครศรีอยุธยา"
"259","6140908","องค์การบริหารส่วนตำบล หนองน้ำใส","ภาชี","พระนครศรีอยุธยา"
"260","5141001","เทศบาลตำบล ลาดบัวหลวง","ลาดบัวหลวง","พระนครศรีอยุธยา"
"261","5141002","เทศบาลตำบล สามเมือง","ลาดบัวหลวง","พระนครศรีอยุธยา"
"262","6141003","องค์การบริหารส่วนตำบล คลองพระยาบันลือ","ลาดบัวหลวง","พระนครศรีอยุธยา"
"263","6141004","องค์การบริหารส่วนตำบล สิงหนาท","ลาดบัวหลวง","พระนครศรีอยุธยา"
"264","6141005","องค์การบริหารส่วนตำบล คู้สลอด","ลาดบัวหลวง","พระนครศรีอยุธยา"
"265","6141006","องค์การบริหารส่วนตำบล พระยาบันลือ","ลาดบัวหลวง","พระนครศรีอยุธยา"
"266","6141007","องค์การบริหารส่วนตำบล ลาดบัวหลวง","ลาดบัวหลวง","พระนครศรีอยุธยา"
"267","6141008","องค์การบริหารส่วนตำบล หลักชัย","ลาดบัวหลวง","พระนครศรีอยุธยา"
"268","4141101","เทศบาลเมือง ลำตาเสา","วังน้อย","พระนครศรีอยุธยา"
"269","6141102","องค์การบริหารส่วนตำบล ข้าวงาม","วังน้อย","พระนครศรีอยุธยา"
"270","6141103","องค์การบริหารส่วนตำบล ชะแมบ","วังน้อย","พระนครศรีอยุธยา"
"271","6141104","องค์การบริหารส่วนตำบล บ่อตาโล่","วังน้อย","พระนครศรีอยุธยา"
"272","6141105","องค์การบริหารส่วนตำบล พยอม","วังน้อย","พระนครศรีอยุธยา"
"273","6141106","องค์การบริหารส่วนตำบล ลำไทร","วังน้อย","พระนครศรีอยุธยา"
